Country Name,Region,Image URL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,Asia,https://public.flourish.studio/country-flags/svg/cn.svg,"108,085,352","110,327,936","114,685,540","121,162,226","127,791,981","129,348,359","131,746,910","134,196,718","136,747,486","139,527,262","142,386,810","145,443,877","148,131,235","151,552,570","155,688,522","159,452,730","162,497,601","165,293,316","171,153,535","180,399,661","189,947,471","199,949,784","210,823,843","220,472,140","230,206,255","240,414,890","251,325,056","262,976,051","275,121,076","287,504,237","300,165,618","314,301,034","328,521,540","342,961,393","357,836,540","373,035,157","388,593,258","404,485,562","420,606,126","436,766,058","452,999,147","471,767,321","491,993,700","512,473,984","533,257,098","554,367,818","575,118,254","595,670,841","616,481,190","637,407,288","658,498,663","678,933,504","699,187,267","719,587,859","740,239,259","761,027,100","782,199,374","803,554,542"
Colombia,Americas,https://public.flourish.studio/country-flags/svg/co.svg,"7,625,144","8,100,904","8,600,109","9,122,091","9,667,644","10,111,979","10,568,140","11,039,636","11,522,241","12,008,495","12,494,369","12,977,019","13,458,246","13,941,915","14,429,675","14,929,940","15,448,037","15,981,650","16,531,786","17,098,052","17,679,583","18,276,408","18,888,845","19,514,217","20,148,512","20,788,375","21,398,001","21,997,026","22,598,794","23,203,556","23,812,226","24,423,929","25,038,646","25,652,963","26,265,492","26,874,728","27,480,157","28,080,529","28,679,315","29,279,116","29,881,555","30,487,141","31,094,976","31,703,054","32,308,012","32,907,470","33,500,574","34,086,771","34,665,788","35,237,052","35,799,585","36,352,646","36,896,190","37,429,834","37,953,946","38,469,138","38,975,281","39,471,325"
Comoros,Africa,https://public.flourish.studio/country-flags/svg/km.svg,"23,988","25,914","27,980","30,204","32,609","35,216","38,066","39,596","41,214","42,891","44,607","46,342","48,122","50,024","52,169","54,646","57,512","60,737","64,235","67,848","71,463","75,111","78,778","82,505","86,387","90,501","94,871","99,486","104,335","109,411","114,707","120,236","124,104","127,549","131,037","134,541","138,071","141,616","145,174","148,733","152,294","155,849","159,409","162,990","166,645","170,491","174,541","178,800","183,275","187,979","192,928","198,122","203,573","209,274","215,195","221,333","227,693","234,276"
"Congo, Dem. Rep.",Africa,https://public.flourish.studio/country-flags/svg/cd.svg,"3,400,360","3,522,087","3,649,227","3,782,293","3,922,386","4,070,458","4,227,193","4,392,209","4,564,512","4,742,135","4,924,045","5,109,255","5,298,832","5,494,101","5,698,346","5,913,608","6,141,379","6,381,228","6,629,703","6,882,261","7,135,492","7,389,075","7,645,273","7,907,917","8,183,134","8,520,667","8,877,409","9,254,003","9,660,247","10,107,232","10,603,485","11,157,659","11,766,277","12,405,780","13,044,652","13,659,210","14,237,886","14,789,168","15,335,013","15,908,019","16,534,169","17,222,093","17,968,282","18,770,723","19,622,660","20,521,401","21,469,947","22,473,236","23,531,217","24,646,110","25,817,693","27,048,361","28,337,822","29,686,725","31,096,302","32,566,435","34,098,266","35,691,987"
"Congo, Rep.",Africa,https://public.flourish.studio/country-flags/svg/cg.svg,"327,772","343,899","360,948","378,922","397,859","417,744","438,638","460,577","483,707","508,128","534,037","561,518","590,578","621,069","653,437","687,914","723,593","760,471","798,779","838,735","880,538","924,242","969,880","1,017,301","1,066,329","1,111,143","1,151,831","1,193,487","1,236,224","1,280,248","1,325,754","1,372,830","1,421,544","1,472,040","1,524,489","1,579,144","1,636,319","1,697,466","1,760,969","1,826,324","1,893,340","1,961,498","2,031,259","2,104,173","2,182,480","2,267,682","2,360,787","2,461,018","2,565,809","2,671,331","2,774,847","2,875,151","2,973,183","3,070,683","3,170,356","3,274,298","3,383,093","3,496,242"
Costa Rica,Americas,https://public.flourish.studio/country-flags/svg/cr.svg,"456,620","474,398","492,867","513,730","540,992","568,941","597,591","626,924","656,840","687,171","717,859","748,808","780,143","811,369","838,729","867,257","897,131","928,260","960,759","994,596","1,029,769","1,066,319","1,104,347","1,143,609","1,184,720","1,240,754","1,298,341","1,357,522","1,418,599","1,481,975","1,548,090","1,616,945","1,688,410","1,762,146","1,837,985","1,915,596","1,994,999","2,075,842","2,157,348","2,238,302","2,318,053","2,414,466","2,509,150","2,602,663","2,695,950","2,789,642","2,884,091","2,978,842","3,073,636","3,167,592","3,260,602","3,352,273","3,441,537","3,528,389","3,612,950","3,695,411","3,775,802","3,853,972"
Cote d'Ivoire,Africa,https://public.flourish.studio/country-flags/svg/ci.svg,"629,193","698,611","776,280","862,340","956,623","1,058,839","1,131,045","1,207,206","1,288,770","1,377,865","1,476,416","1,585,392","1,705,063","1,835,010","1,974,879","2,129,889","2,325,707","2,535,857","2,761,273","2,905,057","3,054,478","3,209,513","3,369,971","3,535,010","3,703,735","3,875,372","4,049,189","4,225,595","4,410,678","4,614,463","4,826,748","5,047,907","5,276,791","5,511,893","5,751,043","5,992,272","6,236,074","6,481,754","6,725,837","6,966,883","7,201,085","7,424,053","7,638,315","7,849,457","8,066,046","8,294,243","8,536,666","8,793,084","9,064,809","9,352,149","9,655,950","9,977,720","10,317,769","10,674,090","11,043,516","11,425,753","11,819,761","12,226,576"
Croatia,Europe,https://public.flourish.studio/country-flags/svg/hr.svg,"1,248,376","1,294,887","1,344,715","1,395,476","1,447,098","1,499,464","1,552,551","1,606,732","1,661,637","1,716,633","1,773,046","1,825,801","1,864,764","1,903,643","1,942,074","1,980,021","2,017,889","2,049,688","2,091,705","2,129,949","2,169,436","2,206,633","2,235,785","2,263,668","2,290,252","2,316,982","2,343,859","2,369,384","2,394,579","2,416,249","2,439,569","2,316,201","2,305,984","2,404,355","2,420,232","2,440,907","2,359,754","2,411,227","2,384,090","2,422,637","2,364,723","2,381,705","2,389,164","2,396,668","2,403,585","2,412,672","2,419,045","2,424,318","2,430,953","2,435,417","2,436,627","2,368,126","2,368,751","2,370,674","2,370,234","2,360,534","2,354,458","2,337,910"
Cuba,Americas,https://public.flourish.studio/country-flags/svg/cu.svg,"4,170,494","4,270,963","4,379,048","4,492,010","4,606,097","4,718,438","4,827,571","4,934,081","5,039,162","5,144,852","5,252,256","5,408,547","5,577,635","5,745,493","5,908,089","6,061,745","6,205,494","6,339,812","6,465,748","6,584,614","6,698,346","6,805,577","6,889,772","6,969,238","7,055,315","7,152,167","7,263,065","7,385,975","7,515,623","7,643,407","7,763,438","7,856,503","7,924,120","7,985,177","8,043,213","8,100,682","8,157,843","8,218,414","8,282,030","8,342,391","8,399,069","8,451,992","8,501,560","8,540,153","8,567,495","8,591,153","8,610,780","8,626,974","8,642,122","8,659,296","8,680,777","8,707,768","8,739,326","8,767,626","8,792,719","8,813,383","8,828,473","8,840,528"
Curacao,Americas,https://public.flourish.studio/country-flags/svg/cw.svg,"93,258","94,722","96,940","99,290","101,532","103,656","105,249","106,879","109,059","111,346","113,545","116,141","116,907","116,777","118,424","119,543","120,253","120,788","120,361","120,434","121,052","121,992","123,658","124,984","126,083","127,169","127,569","126,993","125,566","124,022","123,122","122,666","122,964","124,420","125,783","127,258","129,273","130,794","129,469","125,761","121,481","117,447","117,440","119,730","121,652","124,627","127,696","130,064","131,527","132,200","133,691","135,409","136,353","137,738","139,450","141,158","142,534","143,629"
Cyprus,Asia,https://public.flourish.studio/country-flags/svg/cy.svg,"204,124","208,511","211,862","214,845","218,032","221,859","226,502","231,852","237,757","243,912","250,118","256,309","262,549","271,554","289,098","307,185","325,894","345,030","364,357","383,377","401,744","419,079","435,523","442,974","448,297","455,131","463,748","473,988","485,671","498,400","511,914","526,169","541,196","555,048","568,523","581,986","595,334","608,533","621,599","634,594","647,547","660,376","671,117","681,117","691,221","701,562","712,253","723,133","733,722","743,343","751,577","758,206","763,454","767,977","772,404","777,233","782,591","788,365"
Czech Republic,Europe,https://public.flourish.studio/country-flags/svg/cz.svg,"5,717,803","5,758,030","5,828,213","5,903,373","5,985,712","6,064,767","6,137,954","6,205,159","6,267,134","6,326,884","6,348,795","6,416,419","6,560,396","6,712,314","6,871,460","7,032,685","7,191,239","7,343,835","7,491,275","7,633,521","7,745,353","7,774,989","7,782,743","7,786,562","7,788,361","7,790,569","7,791,420","7,792,255","7,795,245","7,796,600","7,772,750","7,747,721","7,742,438","7,737,165","7,726,630","7,708,571","7,686,196","7,664,419","7,643,675","7,622,397","7,587,516","7,547,721","7,526,242","7,517,054","7,512,306","7,515,659","7,528,974","7,565,828","7,621,676","7,657,912","7,673,029","7,681,562","7,693,579","7,705,910","7,723,921","7,748,928","7,773,650","7,803,157"
Denmark,Europe,https://public.flourish.studio/country-flags/svg/dk.svg,"3,374,572","3,431,879","3,490,118","3,548,824","3,608,088","3,666,724","3,723,679","3,779,458","3,828,566","3,875,429","3,930,043","3,982,363","4,029,765","4,078,304","4,121,150","4,156,474","4,189,964","4,217,587","4,245,152","4,269,868","4,289,152","4,297,767","4,300,240","4,302,863","4,306,181","4,313,449","4,324,701","4,335,668","4,343,212","4,351,259","4,361,727","4,374,504","4,390,390","4,406,442","4,422,754","4,447,268","4,473,929","4,493,986","4,511,769","4,528,106","4,544,013","4,563,004","4,582,981","4,601,394","4,624,434","4,652,908","4,681,382","4,712,839","4,751,268","4,785,983","4,815,111","4,844,002","4,872,608","4,901,386","4,932,961","4,974,525","5,020,143","5,063,231"
Djibouti,Africa,https://public.flourish.studio/country-flags/svg/dj.svg,"42,090","45,530","49,569","54,125","59,119","64,505","70,353","76,741","83,631","90,927","98,633","106,498","114,646","123,945","135,623","150,521","169,441","191,954","216,126","239,094","258,796","273,809","284,877","293,398","303,356","318,891","341,380","369,420","399,648","427,144","448,449","461,893","468,431","471,336","474,579","480,986","491,432","504,922","520,253","535,471","549,181","561,095","571,784","581,630","591,290","601,234","611,543","622,050","632,828","643,898","655,374","667,326","679,728","692,440","705,230","717,976","730,572","743,080"
Dominica,Americas,https://public.flourish.studio/country-flags/svg/dm.svg,"22,712","23,138","23,540","23,938","24,364","24,832","25,362","25,933","26,498","26,995","27,493","28,248","28,883","29,459","30,061","30,763","31,588","32,519","33,494","34,417","35,216","36,024","37,227","38,313","39,325","40,290","41,202","42,060","42,900","43,778","44,739","45,680","45,825","46,042","46,210","46,269","46,186","45,993","45,753","45,562","45,474","45,552","45,867","46,257","46,661","47,038","47,372","47,681","47,976","48,293","48,646","49,047","49,483","49,943","50,421","50,905","51,392","51,881"
Dominican Republic,Americas,https://public.flourish.studio/country-flags/svg/do.svg,"994,504","1,059,768","1,129,415","1,202,639","1,279,434","1,359,649","1,443,416","1,530,663","1,621,512","1,715,719","1,813,584","1,915,012","2,019,973","2,128,225","2,239,990","2,355,014","2,473,385","2,594,881","2,719,705","2,847,898","2,979,574","3,114,501","3,224,814","3,313,948","3,404,189","3,495,417","3,587,610","3,680,767","3,775,009","3,870,446","3,967,241","4,065,500","4,164,987","4,265,237","4,400,012","4,545,878","4,692,294","4,838,980","4,986,702","5,136,111","5,287,676","5,441,357","5,597,107","5,793,621","6,008,252","6,223,348","6,439,046","6,654,948","6,870,839","7,085,727","7,300,061","7,502,974","7,697,655","7,890,792","8,082,219","8,271,738","8,458,974","8,643,423"
Ecuador,Americas,https://public.flourish.studio/country-flags/svg/ec.svg,"1,539,941","1,611,926","1,687,399","1,763,826","1,842,030","1,923,644","2,008,861","2,097,624","2,190,066","2,285,836","2,385,167","2,487,849","2,594,113","2,703,745","2,818,332","2,960,068","3,106,957","3,258,748","3,415,786","3,578,063","3,745,818","3,918,768","4,097,265","4,273,673","4,450,524","4,632,898","4,821,262","5,015,234","5,214,939","5,419,512","5,629,146","5,827,713","6,019,368","6,213,712","6,410,432","6,608,767","6,808,781","7,010,107","7,212,089","7,413,921","7,614,917","7,814,347","7,989,382","8,148,652","8,310,324","8,476,150","8,646,848","8,822,155","9,000,831","9,181,312","9,362,557","9,539,119","9,712,539","9,886,352","10,060,468","10,235,206","10,410,089","10,585,047"
"Egypt, Arab Rep.",Africa,https://public.flourish.studio/country-flags/svg/eg.svg,"10,221,967","10,618,456","11,010,225","11,412,953","11,827,265","12,253,435","12,692,359","13,143,419","13,603,903","14,068,932","14,536,143","15,004,522","15,476,277","15,956,046","16,450,111","16,964,748","17,501,268","17,973,700","18,408,960","18,864,255","19,341,002","19,838,290","20,356,015","20,896,866","21,464,221","22,059,066","22,683,650","23,283,869","23,861,169","24,425,027","24,961,683","25,466,223","25,942,556","26,396,916","26,839,423","27,278,677","27,714,248","28,218,743","28,773,125","29,337,899","29,917,666","30,515,758","31,133,176","31,764,147","32,399,894","33,035,334","33,665,447","34,263,058","34,857,122","35,492,121","36,182,251","36,935,951","37,712,281","38,521,102","39,331,585","40,122,991","40,889,687","41,660,073"
El Salvador,Americas,https://public.flourish.studio/country-flags/svg/sv.svg,"1,059,682","1,095,415","1,130,973","1,168,023","1,206,132","1,244,960","1,284,346","1,324,178","1,364,527","1,405,396","1,446,857","1,488,897","1,546,433","1,604,823","1,663,887","1,723,338","1,783,123","1,843,049","1,902,845","1,961,944","2,020,045","2,076,851","2,132,576","2,187,577","2,242,698","2,298,310","2,354,532","2,411,329","2,469,115","2,528,355","2,589,341","2,652,356","2,717,177","2,814,567","2,922,408","3,029,329","3,134,760","3,238,301","3,340,092","3,399,404","3,456,736","3,511,921","3,565,013","3,616,421","3,666,894","3,716,734","3,766,342","3,818,841","3,890,917","3,962,839","4,034,871","4,107,215","4,179,869","4,252,779","4,326,106","4,399,797","4,473,092","4,545,815"
Equatorial Guinea,Africa,https://public.flourish.studio/country-flags/svg/gq.svg,"65,202","67,699","68,888","70,177","71,700","73,515","75,752","78,296","80,681","82,263","82,618","81,586","79,396","76,514","73,604","71,197","69,358","68,068","67,691","68,636","71,164","75,523","81,541","88,528","98,140","107,453","116,082","124,141","131,882","139,792","148,308","157,514","167,340","177,853","189,161","204,442","221,059","239,057","258,494","279,336","301,583","325,204","350,350","377,222","406,137","437,275","470,822","506,719","544,889","585,086","627,158","671,026","716,629","753,680","791,534","830,013","868,944","908,248"
Eritrea,Africa,https://public.flourish.studio/country-flags/svg/er.svg,"136,940","144,897","153,402","162,471","172,081","182,215","192,932","204,253","212,375","220,843","229,710","238,997","248,714","258,871","269,450","280,484","291,979","303,893","316,367","329,481","343,279","357,709","372,641","388,202","406,011","433,814","463,896","496,028","528,879","560,260","588,571","612,637","632,885","651,265","671,238","695,718","725,898","761,506","802,928","849,837","902,044","960,135","1,024,425","1,093,218","1,163,915","1,234,321","1,303,401","1,371,306","1,439,096","1,490,729","1,544,478","1,600,641",,,,,,
Estonia,Europe,https://public.flourish.studio/country-flags/svg/ee.svg,"697,034","714,269","733,452","753,250","773,863","794,190","812,599","828,812","846,346","865,089","883,329","901,671","919,299","935,590","951,152","966,085","980,438","995,091","1,009,340","1,020,447","1,029,784","1,040,236","1,050,928","1,061,357","1,071,506","1,081,872","1,093,150","1,104,917","1,115,040","1,119,881","1,117,738","1,109,251","1,086,348","1,055,960","1,030,882","1,009,954","992,487","978,597","966,608","966,817","969,061","961,159","953,352","945,646","938,279","931,205","924,006","918,084","913,914","910,446","906,655","902,194","899,089","897,846","897,427","899,949","902,145","903,958"
Eswatini,Africa,https://public.flourish.studio/country-flags/svg/sz.svg,"13,663","15,496","17,551","19,861","22,474","25,427","28,713","31,793","35,223","39,027","43,258","47,961","53,192","58,971","65,362","72,404","80,179","85,125","89,691","94,457","99,424","104,523","109,795","115,423","121,695","128,791","136,870","145,843","155,369","164,896","174,015","182,500","190,430","198,056","205,844","214,122","223,076","231,732","235,459","238,581","240,805","241,999","242,399","242,445","242,729","243,712","245,505","248,509","255,479","262,842","270,399","278,134","285,192","292,422","299,802","307,330","315,077","323,014"
Ethiopia,Africa,https://public.flourish.studio/country-flags/svg/et.svg,"1,424,992","1,507,634","1,596,238","1,690,640","1,791,230","1,897,784","2,010,284","2,128,778","2,225,746","2,329,033","2,440,287","2,560,710","2,690,237","2,823,906","2,955,520","3,080,821","3,196,686","3,305,081","3,413,645","3,533,046","3,671,076","3,832,363","4,015,607","4,219,104","4,438,752","4,672,863","4,919,280","5,179,615","5,456,101","5,751,613","6,068,999","6,410,479","6,774,121","7,157,356","7,553,599","7,924,237","8,285,270","8,650,119","9,022,892","9,407,067","9,807,603","10,223,839","10,657,765","11,106,662","11,569,768","12,046,152","12,536,471","13,054,026","13,733,826","14,443,888","15,189,225","15,969,792","16,787,864","17,625,395","18,497,740","19,403,333","20,343,419","21,316,856"
Faroe Islands,Europe,https://public.flourish.studio/country-flags/svg/fo.svg,"7,412","7,775","8,168","8,573","8,993","9,429","9,829","10,093","10,361","10,637","10,924","11,235","11,558","11,887","12,222","12,557","12,895","13,235","13,386","13,478","13,570","13,659","13,743","13,827","13,920","14,021","14,137","14,265","14,378","14,445","14,561","14,785","15,012","15,203","15,415","15,686","16,038","16,352","16,608","16,832","17,172","17,668","18,163","18,573","18,895","19,208","19,424","19,544","19,654","19,761","19,870","19,972","20,063","20,163","20,270","20,388","20,520","20,659"
Fiji,Oceania,https://public.flourish.studio/country-flags/svg/fj.svg,"116,761","123,157","129,943","136,982","144,103","151,142","158,044","163,958","169,558","175,175","180,925","186,842","192,905","199,091","205,372","211,731","218,082","223,264","228,315","233,816","239,929","246,836","254,383","261,963","268,744","274,153","277,898","283,833","289,781","295,973","303,189","311,701","321,310","331,706","342,353","352,821","363,071","370,519","377,132","383,206","388,641","393,267","397,176","400,842","404,913","409,848","415,890","422,891","431,335","440,109","448,645","456,807","464,718","472,460","480,249","488,237","496,430","504,745"
Finland,Europe,https://public.flourish.studio/country-flags/svg/fi.svg,"2,449,145","2,512,483","2,567,399","2,623,429","2,675,999","2,722,631","2,770,510","2,823,091","2,873,315","2,908,731","2,934,402","2,975,881","3,032,758","3,088,806","3,143,576","3,195,817","3,243,412","3,289,888","3,336,370","3,381,500","3,428,217","3,481,318","3,541,666","3,603,091","3,662,085","3,716,264","3,765,683","3,812,087","3,858,255","3,906,513","3,957,581","4,003,120","4,040,047","4,073,879","4,105,674","4,135,420","4,162,332","4,187,218","4,210,769","4,232,899","4,253,964","4,273,258","4,290,649","4,307,931","4,327,463","4,349,276","4,372,951","4,398,523","4,426,008","4,454,167","4,492,880","4,543,014","4,593,267","4,629,925","4,651,843","4,669,930","4,686,120","4,702,519"
France,Europe,https://public.flourish.studio/country-flags/svg/fr.svg,"28,968,650","29,703,735","30,550,684","31,576,957","32,586,168","33,551,445","34,459,572","35,313,433","36,015,275","36,481,398","36,973,537","37,501,984","38,056,501","38,614,520","39,145,575","39,564,232","39,813,654","40,015,297","40,188,949","40,361,659","40,554,832","40,773,314","41,014,270","41,274,869","41,548,368","41,830,023","42,121,076","42,422,152","42,726,704","43,026,108","43,332,245","43,467,991","43,785,894","44,077,099","44,342,923","44,604,027","44,863,823","45,123,550","45,390,693","45,743,988","46,214,923","46,709,571","47,206,863","47,699,501","48,209,404","48,730,233","49,228,316","49,690,036","50,127,516","50,547,202","50,961,407","51,373,797","51,791,128","52,228,040","52,650,998","53,044,946","53,432,321","53,815,732"
French Polynesia,Oceania,https://public.flourish.studio/country-flags/svg/pf.svg,"33,011","34,877","36,940","39,414","42,166","45,017","47,958","50,994","54,154","57,460","60,951","64,247","67,085","70,026","73,036","76,088","79,178","82,167","84,553","86,992","89,512","92,102","94,750","97,440","100,096","102,731","105,392","108,046","110,636","112,849","114,764","116,381","117,755","119,015","120,348","121,881","123,660","125,927","128,359","130,747","132,976","135,033","136,929","139,761","143,086","146,348","149,548","152,669","155,712","158,663","161,541","164,305","166,986","168,447","169,789","171,288","172,984","174,853"
Gabon,Africa,https://public.flourish.studio/country-flags/svg/ga.svg,"86,848","92,414","99,891","108,018","116,899","126,604","137,251","148,884","161,461","174,803","188,838","205,082","222,141","240,042","259,014","279,189","300,655","323,320","347,262","372,395","398,719","426,125","447,629","470,083","493,545","517,990","543,472","569,961","598,676","628,176","658,388","689,275","720,845","752,988","782,574","812,398","842,781","873,764","905,426","937,828","971,097","1,005,175","1,040,291","1,076,901","1,115,620","1,156,905","1,200,767","1,247,080","1,296,101","1,348,027","1,402,921","1,461,068","1,522,001","1,583,861","1,644,081","1,700,832","1,753,279","1,801,886"
"Gambia, The",Africa,https://public.flourish.studio/country-flags/svg/gm.svg,"44,626","46,455","48,075","50,042","53,963","58,257","62,994","68,192","73,924","80,230","87,203","94,938","103,516","112,379","119,680","127,277","135,138","143,329","152,020","161,416","171,725","182,970","195,195","208,758","224,402","241,731","261,016","282,200","304,805","328,012","351,247","374,195","396,982","419,336","440,362","462,336","485,381","509,425","534,696","561,381","589,659","619,684","651,518","684,613","717,300","751,275","786,528","823,135","861,181","900,725","941,884","984,669","1,029,103","1,075,061","1,122,480","1,171,287","1,221,429","1,272,923"
Georgia,Asia,https://public.flourish.studio/country-flags/svg/ge.svg,"1,570,123","1,613,251","1,656,450","1,699,844","1,743,144","1,785,661","1,825,872","1,863,779","1,900,892","1,939,040","1,977,799","2,017,973","2,058,158","2,096,177","2,134,443","2,170,431","2,206,460","2,241,969","2,275,678","2,310,615","2,345,408","2,379,998","2,415,679","2,452,585","2,489,286","2,527,012","2,565,458","2,602,758","2,644,850","2,655,120","2,642,925","2,650,025","2,658,933","2,667,710","2,629,153","2,548,833","2,474,230","2,418,062","2,383,654","2,354,437","2,325,705","2,298,386","2,284,854","2,272,218","2,259,104","2,246,050","2,233,109","2,219,751","2,207,030","2,193,867","2,180,304","2,166,861","2,153,590","2,140,426","2,126,887","2,135,400","2,151,132","2,164,505"
Germany,Europe,https://public.flourish.studio/country-flags/svg/de.svg,"51,978,188","52,609,561","53,122,383","53,664,331","54,147,106","54,659,677","55,166,778","55,468,832","55,765,529","56,259,360","56,496,072","56,645,245","56,961,784","57,186,457","57,253,758","57,085,531","56,885,943","56,801,863","56,796,181","56,865,826","57,028,530","57,229,147","57,267,174","57,114,118","56,792,461","56,485,448","56,438,249","56,695,484","57,044,790","57,469,536","58,079,842","58,625,381","59,146,205","59,647,492","60,028,206","60,378,049","60,725,922","60,986,289","61,167,004","61,376,500","61,629,857","61,902,439","62,174,878","62,376,854","62,529,997","62,660,267","62,753,557","62,833,410","62,875,807","62,877,220","62,940,432","61,940,177","62,064,608","62,242,278","62,510,392","63,062,064","63,592,936","63,890,984"
Ghana,Africa,https://public.flourish.studio/country-flags/svg/gh.svg,"1,546,790","1,634,030","1,725,452","1,819,650","1,914,987","2,009,909","2,103,423","2,195,976","2,290,376","2,390,977","2,489,514","2,575,269","2,669,844","2,768,568","2,864,859","2,954,239","3,034,105","3,107,101","3,180,281","3,264,199","3,366,236","3,489,594","3,631,850","3,787,646","3,965,301","4,183,130","4,401,864","4,623,179","4,849,529","5,084,197","5,330,684","5,590,187","5,861,574","6,143,017","6,432,456","6,727,651","7,028,226","7,334,775","7,650,720","7,979,372","8,319,609","8,662,230","9,020,827","9,395,501","9,786,022","10,191,094","10,611,790","11,047,966","11,498,112","11,959,326","12,430,823","12,911,096","13,399,971","13,897,120","14,403,132","14,918,445","15,442,902","15,975,849"
Gibraltar,Europe,https://public.flourish.studio/country-flags/svg/gi.svg,"23,394","23,786","24,284","24,848","25,454","26,041","26,612","27,174","27,694","28,159","28,560","28,869","29,104","29,278","29,427","29,578","29,742","29,902","30,049","30,177","30,272","30,334","30,381","30,383","30,325","30,207","30,004","29,744","29,469","29,262","29,164","29,212","29,379","29,623","29,895","30,147","30,382","30,594","30,801","30,991","31,180","31,374","31,544","31,720","31,896","32,085","32,296","32,510","32,732","32,956","33,189","33,405","33,623","33,831","34,038","34,228","34,408","34,571"
Greece,Europe,https://public.flourish.studio/country-flags/svg/gr.svg,"4,660,434","4,740,951","4,844,217","4,937,007","5,029,578","5,127,549","5,239,942","5,357,301","5,466,737","5,560,616","5,646,740","5,735,846","5,817,963","5,888,911","5,955,084","6,055,755","6,195,478","6,321,574","6,449,432","6,575,885","6,686,402","6,785,832","6,846,785","6,905,833","6,959,420","7,005,470","7,047,717","7,090,422","7,135,291","7,191,693","7,287,341","7,392,680","7,462,054","7,518,737","7,569,094","7,617,319","7,663,691","7,714,274","7,770,011","7,812,670","7,857,551","7,919,906","7,991,509","8,052,786","8,114,802","8,180,275","8,246,206","8,308,341","8,371,303","8,433,780","8,484,693","8,511,794","8,505,100","8,482,139","8,463,623","8,445,266","8,446,960","8,471,034"
Greenland,Americas,https://public.flourish.studio/country-flags/svg/gl.svg,"19,024","20,155","21,492","22,926","24,265","25,892","27,334","28,849","30,461","32,095","33,753","34,660","35,585","36,218","36,705","36,897","37,089","37,033","37,075","37,567","38,213","39,013","39,588","40,240","40,896","41,475","41,900","42,559","43,301","43,886","44,312","44,418","44,406","44,438","44,790","45,143","45,335","45,487","45,638","45,708","45,859","46,122","46,473","46,739","46,997","47,175","47,220","47,213","47,196","47,360","48,018","48,217","48,402","48,322","48,308","48,298","48,503","48,629"
Grenada,Americas,https://public.flourish.studio/country-flags/svg/gd.svg,"27,259","27,852","28,381","28,840","29,240","29,579","29,852","30,061","30,214","30,336","30,417","30,404","30,389","30,356","30,266","30,102","29,837","29,491","29,190","29,087","29,293","29,869","30,746","31,750","32,611","33,146","33,275","33,071","32,681","32,332","32,185","32,315","32,798","33,409","34,023","34,558","34,990","35,351","35,665","35,961","36,276","36,583","36,667","36,760","36,855","36,954","37,059","37,170","37,287","37,412","37,542","37,679","37,835","38,017","38,224","38,453","38,711","38,994"
Guam,Oceania,https://public.flourish.studio/country-flags/svg/gu.svg,"33,469","34,873","36,413","38,064","39,795","41,567","43,373","45,223","47,118","49,047","51,937","57,568","63,062","68,325","73,332","78,072","82,540","86,738","90,699","94,447","97,628","99,554","101,521","103,534","105,577","107,641","109,721","111,794","113,894","116,048","118,472","121,619","124,827","128,033","131,115","133,996","136,640","139,050","141,211","143,093","144,656","145,817","146,698","147,360","147,876","148,313","148,696","149,041","149,359","149,690","150,035","150,398","150,818","151,336","152,032","152,953","154,127","155,523"
Guatemala,Americas,https://public.flourish.studio/country-flags/svg/gt.svg,"1,310,427","1,377,506","1,447,488","1,520,470","1,593,340","1,655,168","1,719,411","1,785,984","1,854,763","1,925,609","1,998,266","2,072,938","2,149,481","2,227,787","2,307,448","2,388,522","2,470,944","2,554,794","2,640,501","2,728,902","2,820,447","2,915,440","3,013,702","3,115,054","3,218,848","3,324,617","3,432,318","3,542,207","3,654,813","3,770,514","3,890,060","4,013,604","4,141,179","4,272,346","4,406,639","4,543,722","4,683,365","4,825,726","4,972,110","5,123,672","5,281,515","5,445,884","5,616,681","5,789,971","5,965,415","6,143,740","6,324,727","6,508,732","6,696,023","6,886,669","7,081,561","7,280,273","7,482,817","7,690,649","7,903,499","8,121,501","8,344,133","8,571,763"
Guinea,Africa,https://public.flourish.studio/country-flags/svg/gn.svg,"374,626","397,376","421,400","446,904","474,132","503,262","534,558","567,955","602,943","638,592","674,193","709,546","744,730","779,812","815,355","851,735","889,071","927,508","968,538","1,013,985","1,065,576","1,124,635","1,192,070","1,254,193","1,302,321","1,353,616","1,406,711","1,462,579","1,525,315","1,600,837","1,693,077","1,804,700","1,933,095","2,069,459","2,201,575","2,320,028","2,421,061","2,505,732","2,578,455","2,647,621","2,719,110","2,793,972","2,870,954","2,951,036","3,034,691","3,122,395","3,215,318","3,313,948","3,417,579","3,524,929","3,635,261","3,748,206","3,864,467","3,985,324","4,112,567","4,249,086","4,395,595","4,551,859"
