Country Name,Region,Image URL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,Oceania,https://public.flourish.studio/country-flags/svg/au.svg,"8,378,309","8,589,875","8,832,932","9,034,955","9,245,383","9,459,784","9,709,943","9,852,991","10,048,170","10,280,809","10,505,755","10,887,779","11,110,846","11,303,156","11,614,598","11,780,153","11,920,613","12,077,392","12,240,482","12,395,391","12,569,300","12,792,439","13,002,993","13,162,165","13,307,374","13,486,012","13,704,062","13,909,213","14,133,874","14,370,091","14,579,227","14,761,055","14,920,611","15,044,687","15,181,749","15,342,767","15,521,685","15,672,048","15,811,356","15,967,866","16,133,530","16,326,333","16,550,802","16,780,377","17,000,206","17,250,330","17,531,121","17,666,387","18,049,708","18,451,611","18,767,085","19,056,040","19,422,528","19,790,208","20,120,012","20,440,360","20,772,874","21,131,467"
Austria,Europe,https://public.flourish.studio/country-flags/svg/at.svg,"4,561,167","4,592,914","4,624,644","4,658,034","4,692,726","4,726,878","4,763,809","4,803,163","4,831,802","4,852,163","4,872,871","4,897,890","4,927,193","4,955,326","4,964,528","4,952,131","4,944,146","4,946,802","4,943,554","4,935,890","4,936,650","4,947,212","4,930,765","4,902,840","4,882,418","4,864,664","4,847,469","4,830,238","4,816,676","4,817,928","4,833,974","4,861,464","4,893,935","4,912,877","4,910,076","4,895,821","4,880,469","4,864,091","4,847,335","4,834,637","4,824,004","4,820,068","4,821,291","4,822,095","4,829,142","4,839,033","4,839,801","4,832,038","4,823,638","4,812,679","4,800,510","4,792,887","4,817,487","4,861,991","4,916,377","4,988,134","5,058,968","5,117,624"
Azerbaijan,Asia,https://public.flourish.studio/country-flags/svg/az.svg,"2,051,432","2,110,437","2,171,811","2,233,683","2,293,590","2,349,763","2,401,556","2,449,254","2,493,163","2,534,088","2,590,427","2,666,681","2,742,016","2,816,715","2,884,271","2,944,707","3,005,274","3,066,067","3,127,436","3,187,547","3,246,175","3,305,703","3,366,409","3,428,569","3,495,127","3,566,420","3,639,923","3,715,252","3,792,009","3,852,583","3,847,891","3,885,695","3,922,204","3,959,159","3,989,565","4,012,031","4,028,686","4,043,596","4,057,628","4,085,971","4,135,854","4,184,325","4,232,008","4,280,744","4,335,079","4,396,406","4,461,940","4,530,068","4,643,726","4,759,039","4,835,557","4,920,166","5,008,847","5,098,727","5,189,181","5,279,540","5,368,846","5,458,164"
"Bahamas, The",Americas,https://public.flourish.studio/country-flags/svg/bs.svg,"65,401","69,587","74,094","78,852","83,751","88,714","93,733","98,784","103,767","108,556","113,068","117,234","121,087","124,751","128,424","132,250","136,279","140,473","144,846","149,340","153,997","159,055","164,261","169,532","174,781","179,944","184,961","189,864","194,731","199,676","204,654","209,068","213,687","218,337","222,758","226,812","230,381","233,582","236,721","240,212","244,291","248,719","253,793","259,335","265,039","270,702","276,254","281,743","287,110","292,348","297,423","302,331","307,051","311,585","315,931","320,093","324,065","327,853"
Bahrain,Asia,https://public.flourish.studio/country-flags/svg/bh.svg,"133,710","138,239","142,593","146,737","150,679","154,631","158,719","162,770","167,094","172,099","178,110","185,108","193,097","202,410","213,472","226,495","241,774","259,015","277,084","294,402","309,867","322,929","333,966","343,892","354,084","365,554","378,677","393,107","408,233","423,114","437,114","450,270","462,398","473,985","485,792","498,242","511,456","525,811","542,384","562,553","587,333","616,417","649,672","688,248","733,577","786,220","847,736","916,639","986,747","1,049,687","1,099,826","1,133,761","1,154,099","1,168,545","1,188,257","1,220,937","1,269,685","1,331,176"
Bangladesh,Asia,https://public.flourish.studio/country-flags/svg/bd.svg,"2,475,057","2,617,508","2,805,637","3,008,532","3,228,260","3,467,852","3,729,712","4,014,260","4,316,105","4,626,933","4,939,077","5,248,219","5,557,188","5,875,157","6,313,359","7,013,651","7,811,638","8,713,882","9,728,604","10,856,231","12,099,237","13,228,798","13,943,509","14,691,533","15,478,941","16,306,248","17,177,150","18,090,344","19,042,936","20,025,732","21,037,032","22,024,916","22,922,841","23,837,323","24,779,354","25,751,082","26,756,934","27,790,504","28,852,897","29,937,469","31,040,015","32,314,461","33,816,861","35,351,142","36,901,038","38,452,444","40,000,914","41,547,693","43,106,068","44,698,589","46,347,659","48,058,996","49,821,756","51,623,507","53,456,560","55,304,800","57,168,296","59,047,279"
Barbados,Americas,https://public.flourish.studio/country-flags/svg/bb.svg,"84,932","85,371","85,875","86,416","86,942","87,420","87,841","88,229","88,618","89,058","89,687","90,755","91,917","93,135","94,372","95,597","96,795","97,974","99,128","100,245","101,135","100,797","100,404","99,975","99,543","99,135","98,751","98,392","98,041","97,696","97,302","96,687","96,072","95,457","94,845","94,235","93,638","93,046","92,451","91,842","91,281","91,029","90,758","90,482","90,221","89,987","89,789","89,613","89,452","89,286","89,099","88,951","88,849","88,790","88,779","88,815","88,899","89,027"
Belarus,Europe,https://public.flourish.studio/country-flags/svg/by.svg,"2,656,234","2,772,677","2,895,029","3,022,385","3,153,963","3,282,735","3,415,027","3,551,335","3,690,749","3,831,426","3,978,504","4,133,823","4,290,972","4,447,749","4,602,886","4,741,013","4,877,627","5,019,081","5,167,027","5,309,728","5,448,102","5,591,406","5,734,993","5,879,814","6,025,280","6,167,842","6,312,729","6,457,896","6,578,021","6,669,994","6,722,804","6,766,166","6,820,815","6,876,000","6,907,418","6,924,376","6,940,093","6,949,064","6,954,054","6,966,778","6,983,033","6,995,457","6,998,521","6,996,348","6,994,710","6,992,229","6,993,921","7,005,597","7,024,602","7,051,358","7,086,808","7,122,689","7,164,339","7,212,995","7,266,287","7,324,181","7,378,986","7,428,883"
Belgium,Europe,https://public.flourish.studio/country-flags/svg/be.svg,"8,463,316","8,500,111","8,545,539","8,624,158","8,720,520","8,814,176","8,887,919","8,951,328","9,000,174","9,039,007","9,061,057","9,090,451","9,138,742","9,179,915","9,221,059","9,259,701","9,288,043","9,319,769","9,348,049","9,375,266","9,403,844","9,418,778","9,426,273","9,435,379","9,444,896","9,457,075","9,469,618","9,486,775","9,525,797","9,569,207","9,606,261","9,650,427","9,697,796","9,743,821","9,781,788","9,810,102","9,836,805","9,868,070","9,896,510","9,926,274","9,956,937","9,997,106","10,047,703","10,095,562","10,144,977","10,206,487","10,279,407","10,360,589","10,448,114","10,537,701","10,639,649","10,793,425","10,877,193","10,935,565","10,966,157","11,034,732","11,095,615","11,140,192"
Belize,Americas,https://public.flourish.studio/country-flags/svg/bz.svg,"49,740","50,874","52,013","53,188","54,410","55,692","57,046","58,442","59,828","61,107","62,268","63,401","64,396","65,278","66,086","66,858","67,590","68,294","69,059","69,998","71,175","72,577","74,223","76,043","77,945","79,853","81,779","83,738","85,658","87,432","89,022","90,347","91,444","92,579","94,055","96,083","98,748","101,945","105,454","108,953","112,276","115,714","118,947","122,042","125,151","128,361","131,697","135,116","138,576","142,037","145,457","148,887","152,344","155,852","159,440","163,138","166,946","170,858"
